MAGIC PREFIX: ShipSurrender_AIOffer	Optional cloned name.  If blank, name from column A will be used. (Typical case.)  If not blank, a new interaction will be cloned from column A, using this new name.			Clones template interaction's aInverse, but if there is ANYTHING in this cell, overwrites template aInverse with cell (and replaces magic prefix).  Entries use pipe | as separator. (Commas optionally used in each entry e.g. Name,[us],them].)  eg. STKTemplate_Intro_Allow_Friendly, STKTemplate_Intro_Allow_Criminal -> PREFIX_Intro_Allow_Friendly, PREFIX_Intro_Allow_Criminal	S			Clones loot_stk_template, then adds aCOs or aLoots:  aCOs,TestCond=1.0x1,aLoots,TestLoot=0.5x1		Clones contrigs_stk_template, then adds aReqs or aForbids:  aReqs,string,string aForbids,string,string		Common overrides: fForcedChance, 1 PSpecTestThem, YOUR_TEST_HERE, bHumanOnly, true, bRandomInverse, false etc	
INTERACTIONS													
(PREFIX)Name	Clone To	Title	Desc	Inverse	Stage	nMove Type	Required	Loot for Us	Loot for Them	CT Test Us	CT Test Them	Other	Notes
Intro		Offer Surrender	Cease fire! I surrender!	STKShipSurrender_AIOffer_Intro_Deny_BreakLock|STKShipSurrender_AIOffer_Intro_Deny_Cooldown|STKShipSurrender_AIOffer_Intro_Deny_Violated|STKShipSurrender_AIOffer_Intro_Deny_TraitUs_Cruel|STKShipSurrender_AIOffer_Intro_Deny_TraitUs_Vengeful|STKShipSurrender_AIOffer_Intro_Allow_TraitUs_Kind|STKShipSurrender_AIOffer_Intro_Allow_TraitUs_Forgiving|STKShipSurrender_AIOffer_Intro_Allow_TraitUs_Agliophobic|STKShipSurrender_AIOffer_Exit_Truce|STKShipSurrender_AIOffer_Gambit_DemandMoney| STKShipSurrender_AIOffer_Gambit_DemandBoarding| STKShipSurrender_AIOffer_Gambit_DemandArrest_BCER| STKShipSurrender_AIOffer_Gambit_DemandArrestBCRS	Intro	5	Y	aCOs, StatAutonomy=1.0x23, StatEsteem=1.0x23, -StatMeaning=1.0x23, IsSTKShipSurrender_AIOffer_Cooldown=1.0x1	aCOs, -StatAutonomy=1.0x23, -StatEsteem=1.0x23, StatPrivacy=1.0x23	aForbids,IsSTKShipSurrender_AIOffer_Cooldown		ShipTestThem, IsInCombatWithOther, strActionGroup, Ship, fTargetPointRange, 0, bHumanOnly, false, bAIOnly, true	
Intro_Deny_Enemy	Intro_Deny_BreakLock	Unlock Me	Unlock us first, then we'll talk.		Exit	2		aCOs, StatAltruism=1.0x45, StatSecurity=1.0x23, StatPrivacy=1.0x23	aCOs, StatAltuism=1.0x23, StatAutonomy=1.0x23, StatEsteem=1.0x23, StatMeaning=1.0x23, StatSecurity=1.0x45	aForbids,IsCruel,IsVengeful,IsKind,IsForgiving,IsAgliophobic		LootCTsUs, CTSocialCombatExitUs, LootCTsThem, CTSocialCombatExitThem, ShipTestThem, IsTargetingOther, strContextLootThem, Default, strContextLootUs, Default, strActionGroup, Ship, fTargetPointRange, 0,, PSpecTestThem, null	
Intro_Deny_TraitUs_Blank	Intro_Deny_NoReasons	Refuse	Negative. This ends in blood.		Exit	2	Y	aCOs, StatPrivacy=1.0x23	aCOs, StatPrivacy=1.0x23, StatSecurity=1.0x23	aForbids,IsCruel,IsVengeful,IsKind,IsForgiving,IsAgliophobic		LootCTsUs, CTSocialCombatExitUs, LootCTsThem, CTSocialCombatExitThem, strContextLootThem, Default, strContextLootUs, Default, strActionGroup, Ship, fTargetPointRange, 0	
Intro_Deny_Cooldown		Refuse Again	I already told you no.		Exit	2		aCOs, StatAltruism=1.0x45, StatSecurity=1.0x23, StatPrivacy=1.0x45	aCOs, StatAltuism=1.0x23, StatAutonomy=1.0x23, StatEsteem=1.0x23, StatMeaning=1.0x23, StatSecurity=1.0x45	aForbids,IsCruel,IsVengeful,IsKind,IsForgiving,IsAgliophobic		LootCTsUs, CTSocialCombatExitUs, LootCTsThem, CTSocialCombatExitThem, strActionGroup, Ship, fTargetPointRange, 0,	
Intro_Deny_TraitUs_Blank	Intro_Deny_Violated	Refuse (Violated Ceasefire)	You had your chance, and you blew it.		Exit	2		aCOs, StatAltruism=1.0x12, StatSecurity=1.0x23, StatPrivacy=1.0x45	aCOs, StatAltuism=1.0x23, StatAutonomy=1.0x23, StatEsteem=1.0x23, StatMeaning=1.0x23, StatSecurity=1.0x45	aReqs,IsAngryCeasefireViolated		LootCTsUs, CTSocialCombatExitUs, LootCTsThem, CTSocialCombatExitThem, strContextLootThem, Default, strContextLootUs, Default, strActionGroup, Ship, fTargetPointRange, 0,	
Intro_Deny_TraitUs_Blank	Intro_Deny_TraitUs_Cruel	Refuse (Cruel)	I'm gonna enjoy this.	STKShipSurrender_PlayerDemand_Gambit_DemandMoney_Allow_1M| STKShipSurrender_PlayerDemand_Gambit_DemandMoney_Allow_500k| STKShipSurrender_PlayerDemand_Gambit_DemandMoney_Allow_100k| STKShipSurrender_PlayerDemand_Gambit_DemandMoney_Allow_50k| STKShipSurrender_PlayerDemand_Gambit_DemandMoney_Allow_10k|STKShipSurrender_AIOffer_Gambit_AltruismSecurity_SkillPersuade|STKShipSurrender_AIOffer_Gambit_AltruismSecurity_SkillSciencePsychology|STKShipSurrender_AIOffer_Gambit_Altruism_Beg				aCOs, StatAltruism=1.0x45, -StatAutonomy=1.0x45, StatSecurity=1.0x23	aCOs, StatAltuism=1.0x23, StatEsteem=1.0x23, StatMeaning=1.0x23, StatSecurity=1.0x45	aReqs,IsCruel		strContextLootThem, Default, strContextLootUs, Default, strActionGroup, Ship, fTargetPointRange, 0, fForcedChance, 0	
Intro_Deny_TraitUs_Blank	Intro_Deny_TraitUs_Vengeful	Refuse (Vengeful)	You deserve this.	STKShipSurrender_PlayerDemand_Gambit_DemandMoney_Allow_1M| STKShipSurrender_PlayerDemand_Gambit_DemandMoney_Allow_500k| STKShipSurrender_PlayerDemand_Gambit_DemandMoney_Allow_100k| STKShipSurrender_PlayerDemand_Gambit_DemandMoney_Allow_50k| STKShipSurrender_PlayerDemand_Gambit_DemandMoney_Allow_10k|STKShipSurrender_AIOffer_Gambit_AltruismSecurity_SkillPersuade|STKShipSurrender_AIOffer_Gambit_AltruismSecurity_SkillSciencePsychology|STKShipSurrender_AIOffer_Gambit_Altruism_Beg				aCOs, StatAltruism=1.0x45, -StatAutonomy=1.0x45, StatSecurity=1.0x23	aCOs, StatAltuism=1.0x23, StatEsteem=1.0x23, StatMeaning=1.0x23, StatSecurity=1.0x45	aReqs,IsVengeful		strContextLootThem, Default, strContextLootUs, Default, strActionGroup, Ship, fTargetPointRange, 0, fForcedChance, 0	
Intro_Allow_TraitUs_Blank	Intro_Allow_TraitUs_Kind	Allow (Kind)	No one needs to die today. You can go.		Success	3	Y	aCOs, -StatAltruism=1.0x45, -StatSecurity=1.0x23	aCOs, -StatAltruism=1.0x23, StatMeaning=1.0x23, -StatSecurity=1.0x45	aReqs,IsKind		LootCTsUs, CMDConsiderSurrender, strColor, SocialStatusGreen, strContextLootThem, Default, strContextLootUs, Default, strActionGroup, Ship, fTargetPointRange, 0,	
