MAGIC PREFIX: ShipSurrender_PlayerOffer	Optional cloned name.  If blank, name from column A will be used. (Typical case.)  If not blank, a new interaction will be cloned from column A, using this new name.			Clones template interaction's aInverse, but if there is ANYTHING in this cell, overwrites template aInverse with cell (and replaces magic prefix).  Entries use pipe | as separator. (Commas optionally used in each entry e.g. Name,[us],them].)  eg. STKTemplate_Intro_Allow_Friendly, STKTemplate_Intro_Allow_Criminal -> PREFIX_Intro_Allow_Friendly, PREFIX_Intro_Allow_Criminal	S			Clones loot_stk_template, then adds aCOs or aLoots:  aCOs,TestCond=1.0x1,aLoots,TestLoot=0.5x1		Clones contrigs_stk_template, then adds aReqs or aForbids:  aReqs,string,string aForbids,string,string		Common overrides: fForcedChance, 1 PSpecTestThem, YOUR_TEST_HERE, bHumanOnly, true, bRandomInverse, false etc	
INTERACTIONS													
(PREFIX)Name	Clone To	Title	Desc	Inverse	Stage	nMove Type	Required	Loot for Us	Loot for Them	CT Test Us	CT Test Them	Other	Notes
Intro		Offer Surrender	Cease fire! I surrender!	STKShipSurrender_PlayerOffer_Intro_Deny_BreakLock|STKShipSurrender_PlayerOffer_Intro_Deny_Enemy|STKShipSurrender_PlayerOffer_Intro_Deny_DcPrivacyBad|STKShipSurrender_PlayerOffer_Intro_Deny_Cooldown|STKShipSurrender_PlayerOffer_Intro_Deny_Violated|STKShipSurrender_PlayerOffer_Intro_Deny_Faction_Dislikes|STKShipSurrender_PlayerOffer_Intro_Deny_TraitUs_Cruel|STKShipSurrender_PlayerOffer_Intro_Deny_TraitUs_Vengeful|STKShipSurrender_PlayerOffer_Intro_Deny_Default|STKShipSurrender_PlayerOffer_Intro_Allow_Friendly|STKShipSurrender_PlayerOffer_Intro_Allow_DcAltruismBad|STKShipSurrender_PlayerOffer_Intro_Allow_DcSecurityBad|STKShipSurrender_PlayerOffer_Intro_Allow_Faction_Likes|STKShipSurrender_PlayerOffer_Intro_Allow_TraitUs_Kind|STKShipSurrender_PlayerOffer_Intro_Allow_TraitUs_Forgiving|STKShipSurrender_PlayerOffer_Intro_Allow_TraitUs_Agliophobic	Intro	5	Y	aCOs, StatAutonomy=1.0x23, StatEsteem=1.0x23, -StatMeaning=1.0x23	aCOs, -StatAutonomy=1.0x23, -StatEsteem=1.0x23, StatPrivacy=1.0x23			ShipTestUs, PlayerCurrentShip, ShipTestThem, IsInCombatWithOther, strActionGroup, Ship, fTargetPointRange, 0	
Intro_Deny_Enemy	Intro_Deny_BreakLock	Refuse while targeted	Unlock us first, then we'll talk.		Exit	2		aCOs, StatAltruism=1.0x45, StatSecurity=1.0x23, StatPrivacy=1.0x23	aCOs, StatAltuism=1.0x23, StatAutonomy=1.0x23, StatEsteem=1.0x23, StatMeaning=1.0x23, StatSecurity=1.0x45			LootCTsUs, CTSocialCombatExitUs, LootCTsThem, CTSocialCombatExitThem, ShipTestThem, IsTargetingOther, strContextLootThem, Default, strContextLootUs, Default, strActionGroup, Ship, fTargetPointRange, 0, fForcedChance, 1, PSpecTestThem, null	
Intro_Deny_Enemy		Refuse enemy	Finally have you where I want you. No way.		Exit	2		aCOs, StatAltruism=1.0x45, StatSecurity=1.0x23, StatPrivacy=1.0x23	aCOs, StatAltuism=1.0x23, StatAutonomy=1.0x23, StatEsteem=1.0x23, StatMeaning=1.0x23, StatSecurity=1.0x45			LootCTsUs, CTSocialCombatExitUs, LootCTsThem, CTSocialCombatExitThem, strContextLootThem, Default, strContextLootUs, Default, strActionGroup, Ship, fTargetPointRange, 0, fForcedChance, 1	
Intro_Deny_DcPrivacyBad		Refuse impatiently	I'm done talking to you.		Exit	2	Y	aCOs, StatAltruism=1.0x45, StatSecurity=1.0x23, StatPrivacy=1.0x23	aCOs, StatAltuism=1.0x23, StatAutonomy=1.0x23, StatEsteem=1.0x23, StatMeaning=1.0x23, StatSecurity=1.0x45			LootCTsUs, CTSocialCombatExitUs, LootCTsThem, CTSocialCombatExitThem, strContextLootThem, Default, strContextLootUs, Default, strActionGroup, Ship, fTargetPointRange, 0, fForcedChance, 1	
Intro_Deny_Cooldown		Refuse again	I already told you no.		Exit	2		aCOs, StatAltruism=1.0x45, StatSecurity=1.0x23, StatPrivacy=1.0x45	aCOs, StatAltuism=1.0x23, StatAutonomy=1.0x23, StatEsteem=1.0x23, StatMeaning=1.0x23, StatSecurity=1.0x45			LootCTsUs, CTSocialCombatExitUs, LootCTsThem, CTSocialCombatExitThem, strActionGroup, Ship, fTargetPointRange, 0, fForcedChance, 1	
Intro_Deny_TraitUs_Blank	Intro_Deny_Violated	Refuse violated	You had your chance, and you blew it.		Exit	2		aCOs, StatAltruism=1.0x12, StatSecurity=1.0x23, StatPrivacy=1.0x45	aCOs, StatAltuism=1.0x23, StatAutonomy=1.0x23, StatEsteem=1.0x23, StatMeaning=1.0x23, StatSecurity=1.0x45	aReqs,IsSTKShipSurrender_PlayerOffer_Ceasefire_Violated		LootCTsUs, CTSocialCombatExitUs, LootCTsThem, CTSocialCombatExitThem, strContextLootThem, Default, strContextLootUs, Default, strActionGroup, Ship, fTargetPointRange, 0, fForcedChance, 1	
Intro_Deny_Faction_Dislikes		Deny disliked faction	You're more valuable to me dead.	STKShipSurrender_PlayerOffer_Gambit_Altruism_1M|STKShipSurrender_PlayerOffer_Gambit_Altruism_500k|STKShipSurrender_PlayerOffer_Gambit_Altruism_100k|STKShipSurrender_PlayerOffer_Gambit_Altruism_50k|STKShipSurrender_PlayerOffer_Gambit_Altruism_10k|STKShipSurrender_PlayerOffer_Gambit_AltruismSecurity_SkillPersuade|STKShipSurrender_PlayerOffer_Gambit_AltruismSecurity_SkillSciencePsychology|STKShipSurrender_PlayerOffer_Gambit_Altruism_Beg				aCOs, StatAltruism=1.0x45, -StatAutonomy=1.0x45, StatSecurity=1.0x23	aCOs, StatAltuism=1.0x23, StatEsteem=1.0x23, StatMeaning=1.0x23, StatSecurity=1.0x45			strContextLootThem, Default, strContextLootUs, Default, strActionGroup, Ship, fTargetPointRange, 0, fForcedChance, 0	
Intro_Deny_TraitUs_Blank	Intro_Deny_TraitUs_Cruel	Refuse cruel	I'm gonna enjoy this.	STKShipSurrender_PlayerOffer_Gambit_Altruism_1M|STKShipSurrender_PlayerOffer_Gambit_Altruism_500k|STKShipSurrender_PlayerOffer_Gambit_Altruism_100k|STKShipSurrender_PlayerOffer_Gambit_Altruism_50k|STKShipSurrender_PlayerOffer_Gambit_Altruism_10k|STKShipSurrender_PlayerOffer_Gambit_AltruismSecurity_SkillPersuade|STKShipSurrender_PlayerOffer_Gambit_AltruismSecurity_SkillSciencePsychology|STKShipSurrender_PlayerOffer_Gambit_Altruism_Beg				aCOs, StatAltruism=1.0x45, -StatAutonomy=1.0x45, StatSecurity=1.0x23	aCOs, StatAltuism=1.0x23, StatEsteem=1.0x23, StatMeaning=1.0x23, StatSecurity=1.0x45	aReqs,IsCruel		strContextLootThem, Default, strContextLootUs, Default, strActionGroup, Ship, fTargetPointRange, 0, fForcedChance, 0	
